"id","full_name","position","team","targets","rec","rec_yards","air_yards","yac","td","adot","racr","ms_air","tgt_share","wopr","ppr"
"660","Doug Middleton","UNK","NYJ",0,0,0,170,0,0,Inf,0,0.1,0,0.07,0
"661","Drew Kaser","UNK","LAC",0,0,0,0,0,0,NA,NA,0,0,0,0
"662","Drew Stanton","QB","CLE",0,0,0,5,0,0,Inf,0,0.01,0,0.01,0
"663","E.J. Gaines","UNK","CLE",0,0,0,132,0,0,Inf,0,0.07,0,0.05,0
"664","Earl Mitchell","UNK","SF",0,0,0,-3,0,0,-Inf,0,0,0,0,0
"665","Eddie Pleasant","UNK","ARI",0,0,0,0,0,0,NA,NA,0,0,0,0
"666","Eddie Pleasant","UNK","GB",0,0,0,39,0,0,Inf,0,0.03,0,0.02,0
"667","Eddie Yarbrough","UNK","BUF",0,0,0,3,0,0,Inf,0,0,0,0,0
"668","Eli Ankou","UNK","JAC",0,0,0,0,0,0,NA,NA,0,0,0,0
"669","Eli Harold","UNK","DET",0,0,0,20,0,0,Inf,0,0.01,0,0.01,0
"670","Elijah Lee","UNK","SF",0,0,0,183,0,0,Inf,0,0.06,0,0.04,0
"671","Emmanuel Lamur","UNK","OAK",0,0,0,0,0,0,NA,NA,0,0,0,0
"672","Eric Berry","UNK","KC",0,0,0,93,0,0,Inf,0,0.15,0,0.1,0
"673","Eric Lee","UNK","DET",0,0,0,0,0,0,NA,NA,0,0,0,0
"674","Erik Magnuson","UNK","SF",0,0,0,-5,0,0,-Inf,0,-0.02,0,-0.01,0
"675","Ethan Westbrooks","UNK","LA",0,0,0,1,0,0,Inf,0,0,0,0,0
"676","Evan Smith","UNK","TB",0,0,0,8,0,0,Inf,0,0.02,0,0.01,0
"677","Frank Zombo","UNK","KC",0,0,0,0,0,0,NA,NA,0,0,0,0
"678","Freddie Martino","UNK","TB",0,0,0,0,0,0,NA,NA,0,0,0,0
"679","Frostee Rucker","UNK","OAK",0,0,0,8,0,0,Inf,0,0,0,0,0
"680","Gabe Holmes","UNK","ARI",0,0,0,0,0,0,NA,NA,0,0,0,0
"681","Gabe Wright","UNK","OAK",0,0,0,0,0,0,NA,NA,0,0,0,0
"682","Garrett Dickerson","TE","NYG",0,0,0,5,0,0,Inf,0,0.01,0,0.01,0
"683","Garrett Gilbert","QB","CAR",0,0,0,17,0,0,Inf,0,0.08,0,0.05,0
"684","Garrison Sanborn","UNK","TB",0,0,0,0,0,0,NA,NA,0,0,0,0
"685","Garrison Smith","UNK","ARI",0,0,0,0,0,0,NA,NA,0,0,0,0
"686","Geneo Grissom","UNK","NE",0,0,0,0,0,0,NA,NA,0,0,0,0
"687","George Iloka","UNK","MIN",0,0,0,115,0,0,Inf,0,0.07,0,0.05,0
"688","Gerald Hodges","UNK","ARI",0,0,0,24,0,0,Inf,0,0.01,0,0.01,0
"689","Geremy Davis","WR","LAC",1,0,0,0,0,0,0,NA,0,0.01,0.01,0
"690","Giorgio Tavecchio","UNK","ATL",0,0,0,0,0,0,NA,NA,0,0,0,0
"691","Glover Quin","UNK","DET",0,0,0,342,0,0,Inf,0,0.08,0,0.06,0
"692","Godwin Igwebuike","UNK","TB",0,0,0,0,0,0,NA,NA,0,0,0,0
"693","Greg Joseph","UNK","CLE",0,0,0,0,0,0,NA,NA,0,0,0,0
"694","Greg Mabin","UNK","SF",0,0,0,83,0,0,Inf,0,0.05,0,0.03,0
"695","Haloti Ngata","UNK","PHI",0,0,0,16,0,0,Inf,0,0.01,0,0,0
"696","Hardy Nickerson","UNK","CIN",0,0,0,88,0,0,Inf,0,0.03,0,0.02,0
"697","Hayes Pullard","UNK","LAC",0,0,0,37,0,0,Inf,0,0.03,0,0.02,0
"698","Isaiah Ford","UNK","MIA",1,0,0,6,0,0,6,0,0.02,0.04,0.08,0
"699","Isaiah Johnson","UNK","TB",0,0,0,340,0,0,Inf,0,0.08,0,0.06,0
"700","Isaiah McKenzie","WR","DEN",0,0,0,0,0,0,NA,NA,0,0,0,0
"701","J.J. Jones","UNK","LAC",0,0,0,0,0,0,NA,NA,0,0,0,0
"702","Jacquies Smith","UNK","ARI",0,0,0,0,0,0,NA,NA,0,0,0,0
"703","Jacquies Smith","UNK","OAK",0,0,0,18,0,0,Inf,0,0.04,0,0.03,0
"704","Jake Brendel","UNK","MIA",0,0,0,11,0,0,Inf,0,0.05,0,0.03,0
"705","Jalen Davis","UNK","MIA",0,0,0,11,0,0,Inf,0,0.02,0,0.02,0
"706","Jamar Taylor","UNK","ARI",0,0,0,160,0,0,Inf,0,0.11,0,0.08,0
"707","Jamar Taylor","UNK","DEN",0,0,0,0,0,0,NA,NA,0,0,0,0
"708","James Burgess","UNK","CLE",0,0,0,6,0,0,Inf,0,0.01,0,0,0
"709","Jamiyus Pittman","UNK","MIA",0,0,0,0,0,0,NA,NA,0,0,0,0
"710","Janarion Grant","UNK","BAL",0,0,0,0,0,0,NA,NA,0,0,0,0
"711","Jared Norris","UNK","CAR",0,0,0,0,0,0,NA,NA,0,0,0,0
"712","Jared Veldheer","UNK","DEN",0,0,0,6,0,0,Inf,0,0.02,0,0.01,0
"713","Jarvis Jenkins","UNK","KC",0,0,0,1,0,0,Inf,0,0,0,0,0
"714","Jason Cabinda","UNK","OAK",0,0,0,26,0,0,Inf,0,0.01,0,0.01,0
"715","Jason Pierre-Paul","UNK","TB",0,0,0,132,0,0,Inf,0,0.02,0,0.01,0
"716","Jay Bromley","UNK","NO",0,0,0,5,0,0,Inf,0,0.02,0,0.01,0
"717","Jaydon Mickens","UNK","JAC",0,0,0,0,0,0,NA,NA,0,0,0,0
"718","Jeff Holland","UNK","DEN",0,0,0,0,0,0,NA,NA,0,0,0,0
"719","Jeff Richards","UNK","LAC",0,0,0,0,0,0,NA,NA,0,0,0,0
"720","Jerel Worthy","UNK","TB",0,0,0,0,0,0,NA,NA,0,0,0,0
"721","Jeremiah Attaochu","UNK","NYJ",0,0,0,18,0,0,Inf,0,0.01,0,0.01,0
"722","Jeremiah McKinnon","UNK","CLE",0,0,0,0,0,0,NA,NA,0,0,0,0
"723","Jeremiah Sirles","UNK","BUF",0,0,0,15,0,0,Inf,0,0.06,0,0.04,0
"724","Jermey Parnell","UNK","JAC",0,0,0,32,0,0,Inf,0,0.03,0,0.02,0
"725","Jerome Cunningham","UNK","DET",1,0,0,3,0,0,3,0,0.01,0.02,0.04,0
"726","Joe Barksdale","UNK","ARI",0,0,0,0,0,0,NA,NA,0,0,0,0
"727","Joel Heath","UNK","HOU",0,0,0,0,0,0,NA,NA,0,0,0,0
"728","John Atkins","UNK","DET",0,0,0,20,0,0,Inf,0,0.07,0,0.05,0
"729","John Denney","UNK","MIA",0,0,0,0,0,0,NA,NA,0,0,0,0
"730","John Sullivan","UNK","LA",0,0,0,-3,0,0,-Inf,0,0,0,0,0
"731","Johnny Holton","UNK","OAK",1,0,0,45,0,0,45,0,0.15,0.03,0.15,0
"732","JoJo Natson","WR","LA",0,0,0,0,0,0,NA,NA,0,0,0,0
"733","Jordan Mills","UNK","BUF",0,0,0,14,0,0,Inf,0,0.03,0,0.02,0
"734","Jordan Richards","UNK","ATL",0,0,0,113,0,0,Inf,0,0.03,0,0.02,0
"735","Josh Bynes","UNK","ARI",0,0,0,128,0,0,Inf,0,0.05,0,0.04,0
"736","Josh Jones","UNK","GB",0,0,0,201,0,0,Inf,0,0.05,0,0.04,0
"737","Josh Keyes","UNK","HOU",0,0,0,10,0,0,Inf,0,0.05,0,0.04,0
"738","Josh Walker","UNK","JAC",0,0,0,0,0,0,NA,NA,0,0,0,0
"739","Josh Wells","UNK","JAC",0,0,0,9,0,0,Inf,0,0.03,0,0.02,0
"740","Joshua Holsey","UNK","WAS",0,0,0,2,0,0,Inf,0,0.01,0,0.01,0
"741","Julius Peppers","UNK","CAR",0,0,0,47,0,0,Inf,0,0.01,0,0.01,0
"742","Justin Hamilton","UNK","KC",0,0,0,0,0,0,NA,NA,0,0,0,0
"743","Juston Burris","UNK","CLE",0,0,0,0,0,0,NA,NA,0,0,0,0
"744","Kaelin Clay","UNK","NYG",0,0,0,0,0,0,NA,NA,0,0,0,0
"745","Kai Forbath","UNK","JAC",0,0,0,0,0,0,NA,NA,0,0,0,0
"746","Kayvon Webster","UNK","HOU",0,0,0,0,0,0,NA,NA,0,0,0,0
"747","Keith Tandy","UNK","ATL",0,0,0,0,0,0,NA,NA,0,0,0,0
"748","KeiVarae Russell","UNK","CIN",0,0,0,94,0,0,Inf,0,0.16,0,0.11,0
"749","Kelvin Sheppard","UNK","DET",0,0,0,0,0,0,NA,NA,0,0,0,0
"750","Kendrick Lewis","UNK","TEN",0,0,0,108,0,0,Inf,0,0.07,0,0.05,0
"751","Kenny Ladler","UNK","NYG",0,0,0,15,0,0,Inf,0,0.04,0,0.03,0
"752","Kenny Ladler","UNK","WAS",0,0,0,0,0,0,NA,NA,0,0,0,0
"753","Kentrell Brice","UNK","GB",0,0,0,153,0,0,Inf,0,0.03,0,0.02,0
"754","Kony Ealy","UNK","OAK",0,0,0,0,0,0,NA,NA,0,0,0,0
"755","Korey Toomer","UNK","GB",0,0,0,9,0,0,Inf,0,0.03,0,0.02,0
"756","Kyle Emanuel","UNK","LAC",0,0,0,17,0,0,Inf,0,0.01,0,0,0
"757","Kyle Fuller","UNK","WAS",0,0,0,0,0,0,NA,NA,0,0,0,0
"758","Kyle Wilson","UNK","LAC",0,0,0,0,0,0,NA,NA,0,0,0,0
"759","L.T. Walton","UNK","PIT",0,0,0,5,0,0,Inf,0,0,0,0,0
"760","Lafayette Pitts","UNK","BUF",0,0,0,3,0,0,Inf,0,0,0,0,0
"761","Lance Lenoir","WR","DAL",0,0,0,0,0,0,NA,NA,0,0,0,0
"762","LaRoy Reynolds","UNK","PHI",0,0,0,0,0,0,NA,NA,0,0,0,0
"763","Lenzy Pipkins","UNK","DET",0,0,0,0,0,0,NA,NA,0,0,0,0
"764","Lenzy Pipkins","UNK","IND",0,0,0,14,0,0,Inf,0,0.03,0,0.02,0
"765","Leon Hall","UNK","OAK",0,0,0,97,0,0,Inf,0,0.05,0,0.04,0
"766","Leonard Johnson","UNK","ARI",0,0,0,60,0,0,Inf,0,0.11,0,0.08,0
"767","Lorenzo Doss","UNK","CAR",0,0,0,0,0,0,NA,NA,0,0,0,0
"768","Lyndon Johnson","UNK","JAC",0,0,0,0,0,0,NA,NA,0,0,0,0
"769","Malcolm Smith","UNK","SF",0,0,0,32,0,0,Inf,0,0.01,0,0.01,0
"770","Manti Te'o","UNK","NO",0,0,0,13,0,0,Inf,0,0.01,0,0.01,0
"771","Marcell Harris","UNK","SF",0,0,0,57,0,0,Inf,0,0.04,0,0.03,0
"772","Marcus Allen","UNK","PIT",0,0,0,5,0,0,Inf,0,0.01,0,0.01,0
"773","Marcus Cooper","UNK","DET",0,0,0,-5,0,0,-Inf,0,-0.03,0,-0.02,0
"774","Marcus Gilchrist","UNK","OAK",0,0,0,391,0,0,Inf,0,0.11,0,0.08,0
"775","Marcus Sherels","UNK","MIN",0,0,0,0,0,0,NA,NA,0,0,0,0
"776","Marcus Williams","UNK","CHI",0,0,0,4,0,0,Inf,0,0.02,0,0.01,0
"777","Marcus Williams","UNK","TB",0,0,0,36,0,0,Inf,0,0.05,0,0.04,0
"778","Marquette King","UNK","DEN",0,0,0,0,0,0,NA,NA,0,0,0,0
"779","Marquis Flowers","UNK","DET",0,0,0,0,0,0,NA,NA,0,0,0,0
"780","Martrell Spaight","UNK","JAC",0,0,0,0,0,0,NA,NA,0,0,0,0
"781","Mason Foster","UNK","WAS",0,0,0,224,0,0,Inf,0,0.05,0,0.04,0
"782","Matt Darr","UNK","BUF",0,0,0,0,0,0,NA,NA,0,0,0,0
"783","Matt Dayes","RB","SF",0,0,0,0,0,0,NA,NA,0,0,0,0
"784","Matt Longacre","UNK","LA",0,0,0,28,0,0,Inf,0,0.01,0,0.01,0
"785","Matt McCrane","UNK","ARI",0,0,0,0,0,0,NA,NA,0,0,0,0
"786","Matt McCrane","UNK","OAK",0,0,0,0,0,0,NA,NA,0,0,0,0
"787","Matt McCrane","UNK","PIT",0,0,0,0,0,0,NA,NA,0,0,0,0
"788","Matt Wile","UNK","MIN",0,0,0,0,0,0,NA,NA,0,0,0,0
"789","Matthew Slater","WR","NE",0,0,0,0,0,0,NA,NA,0,0,0,0
"790","Matthew Thomas","UNK","PIT",0,0,0,7,0,0,Inf,0,0.01,0,0.01,0
"791","Maurice Canady","UNK","BAL",0,0,0,24,0,0,Inf,0,0.05,0,0.04,0
"792","Maurice Smith","UNK","MIA",0,0,0,50,0,0,Inf,0,0.08,0,0.06,0
"793","Max Unger","UNK","NO",0,0,0,6,0,0,Inf,0,0.01,0,0.01,0
"794","Michael Johnson","UNK","CIN",0,0,0,-1,0,0,-Inf,0,0,0,0,0
"795","Mike Adams","UNK","CAR",0,0,0,389,0,0,Inf,0,0.09,0,0.06,0
"796","Mike Glennon","QB","ARI",0,0,0,168,0,0,Inf,0,0.31,0,0.22,0
"797","Mike Mitchell","UNK","IND",0,0,0,73,0,0,Inf,0,0.04,0,0.03,0
"798","Mike Nugent","UNK","OAK",0,0,0,0,0,0,NA,NA,0,0,0,0
"799","Mike Pennel","UNK","NYJ",0,0,0,21,0,0,Inf,0,0.01,0,0,0
"800","Mike Tyson","UNK","HOU",0,0,0,44,0,0,Inf,0,0.08,0,0.06,0
"801","Mike Wallace","UNK","PHI",3,0,0,109,0,0,36.3,0,0.32,0.09,0.36,0
"802","Muhammad Wilkerson","UNK","GB",0,0,0,-6,0,0,-Inf,0,-0.01,0,0,0
"803","Nat Berhe","UNK","PIT",0,0,0,17,0,0,Inf,0,0.03,0,0.02,0
"804","Nate Orchard","UNK","BUF",0,0,0,-7,0,0,-Inf,0,-0.01,0,-0.01,0
"805","Nicholas Grigsby","UNK","NE",0,0,0,10,0,0,Inf,0,0.01,0,0,0
"806","Nick DeLuca","UNK","JAC",0,0,0,6,0,0,Inf,0,0,0,0,0
"807","Nick Nelson","UNK","OAK",0,0,0,104,0,0,Inf,0,0.05,0,0.03,0
"808","Nick Perry","UNK","GB",0,0,0,-7,0,0,-Inf,0,0,0,0,0
"809","Nick Williams","WR","TEN",1,0,0,27,0,0,27,0,0.05,0.01,0.05,0
"810","Noah Spence","UNK","TB",0,0,0,16,0,0,Inf,0,0.01,0,0.01,0
"811","Orlando Scandrick","UNK","KC",0,0,0,415,0,0,Inf,0,0.1,0,0.07,0
"812","Pasoni Tasini","UNK","ARI",0,0,0,0,0,0,NA,NA,0,0,0,0
"813","Pharoh Cooper","WR","ARI",0,0,0,0,0,0,NA,NA,0,0,0,0
"814","Pharoh Cooper","WR","LA",1,0,0,6,0,0,6,0,0,0,0.01,0
"815","Phil Dawson","UNK","ARI",0,0,0,0,0,0,NA,NA,0,0,0,0
"816","Quadree Henderson","UNK","NYG",0,0,0,0,0,0,NA,NA,0,0,0,0
"817","Quenton Meeks","UNK","JAC",0,0,0,74,0,0,Inf,0,0.07,0,0.05,0
"818","Quinton Flowers","UNK","CIN",0,0,0,-3,0,0,-Inf,0,-0.01,0,-0.01,0
"819","Rafael Bush","UNK","BUF",0,0,0,141,0,0,Inf,0,0.04,0,0.02,0
"820","Ramik Wilson","UNK","LA",0,0,0,21,0,0,Inf,0,0.01,0,0,0
"821","Ramon Humber","UNK","BUF",0,0,0,3,0,0,Inf,0,0,0,0,0
"822","Ramon Humber","UNK","NE",0,0,0,0,0,0,NA,NA,0,0,0,0
"823","Rashard Robinson","UNK","NYJ",0,0,0,79,0,0,Inf,0,0.07,0,0.05,0
"824","Ray-Ray Armstrong","UNK","CLE",0,0,0,0,0,0,NA,NA,0,0,0,0
"825","Ray-Ray Armstrong","UNK","NYG",0,0,0,29,0,0,Inf,0,0.02,0,0.01,0
"826","Reggie Nelson","UNK","OAK",0,0,0,190,0,0,Inf,0,0.08,0,0.06,0
"827","Ricky Jean Francois","UNK","DET",0,0,0,-4,0,0,-Inf,0,0,0,0,0
"828","Riley Bullough","UNK","TB",0,0,0,15,0,0,Inf,0,0.01,0,0.01,0
"829","Riley McCarron","UNK","NE",1,0,0,27,0,0,27,0,0.07,0.03,0.09,0
"830","Robert Griffin III","QB","BAL",0,0,0,68,0,0,Inf,0,0.12,0,0.09,0
"831","Ron Parker","UNK","KC",0,0,0,401,0,0,Inf,0,0.09,0,0.06,0
"832","Russell Okung","UNK","LAC",0,0,0,12,0,0,Inf,0,0.03,0,0.02,0
"833","Ryan Allen","UNK","NE",0,0,0,0,0,0,NA,NA,0,0,0,0
"834","Ryan Delaire","UNK","SF",0,0,0,0,0,0,NA,NA,0,0,0,0
"835","Ryan Groy","UNK","BUF",0,0,0,57,0,0,Inf,0,0.04,0,0.03,0
"836","Sam Acho","UNK","CHI",0,0,0,0,0,0,NA,NA,0,0,0,0
"837","Sam Ficken","UNK","LA",0,0,0,0,0,0,NA,NA,0,0,0,0
"838","Sam Young","UNK","MIA",0,0,0,0,0,0,NA,NA,0,0,0,0
"839","Sebastian Janikowski","UNK","SEA",0,0,0,0,0,0,NA,NA,0,0,0,0
"840","Senorise Perry","UNK","MIA",0,0,0,0,0,0,NA,NA,0,0,0,0
"841","Shalom Luani","UNK","SEA",0,0,0,22,0,0,Inf,0,0.02,0,0.01,0
"842","Shamarko Thomas","UNK","DEN",0,0,0,5,0,0,Inf,0,0.01,0,0,0
"843","Shane Ray","UNK","DEN",0,0,0,-1,0,0,-Inf,0,0,0,0,0
"844","Shareece Wright","UNK","HOU",0,0,0,236,0,0,Inf,0,0.09,0,0.07,0
"845","Skai Moore","UNK","IND",0,0,0,0,0,0,NA,NA,0,0,0,0
"846","Stacy Coley","UNK","MIN",1,0,0,9,0,0,9,0,0.03,0.02,0.05,0
"847","Stacy Coley","UNK","NYG",0,0,0,0,0,0,NA,NA,0,0,0,0
"848","Stacy McGee","UNK","WAS",0,0,0,1,0,0,Inf,0,0,0,0,0
"849","Stefen Wisniewski","UNK","PHI",0,0,0,3,0,0,Inf,0,0.01,0,0.01,0
"850","Stephone Anthony","UNK","MIA",0,0,0,0,0,0,NA,NA,0,0,0,0
"851","Su'a Cravens","UNK","DEN",0,0,0,60,0,0,Inf,0,0.06,0,0.04,0
"852","Sylvester Williams","UNK","DET",0,0,0,0,0,0,NA,NA,0,0,0,0
"853","Sylvester Williams","UNK","MIA",0,0,0,0,0,0,NA,NA,0,0,0,0
"854","T.J. McDonald","UNK","MIA",0,0,0,290,0,0,Inf,0,0.09,0,0.06,0
"855","T.Y. McGill","UNK","LAC",0,0,0,0,0,0,NA,NA,0,0,0,0
"856","T.Y. McGill","UNK","PHI",0,0,0,32,0,0,Inf,0,0.05,0,0.03,0
"857","Taiwan Jones","RB","BUF",2,0,0,30,0,0,15,0,0.02,0.01,0.04,0
"858","Tank Carradine","UNK","OAK",0,0,0,0,0,0,NA,NA,0,0,0,0
"859","Tashawn Bower","UNK","MIN",0,0,0,0,0,0,NA,NA,0,0,0,0
"860","Teez Tabor","UNK","DET",0,0,0,208,0,0,Inf,0,0.11,0,0.07,0
"861","Telvin Smith","UNK","JAC",0,0,0,243,0,0,Inf,0,0.07,0,0.05,0
"862","Temarrick Hemingway","UNK","DEN",0,0,0,0,0,0,NA,NA,0,0,0,0
"863","Terrance Smith","UNK","KC",0,0,0,43,0,0,Inf,0,0.02,0,0.01,0
"864","Terrell McClain","UNK","ATL",0,0,0,5,0,0,Inf,0,0,0,0,0
"865","Thurston Armbrister","UNK","ARI",0,0,0,0,0,0,NA,NA,0,0,0,0
"866","Tom Johnson","UNK","MIN",0,0,0,22,0,0,Inf,0,0.01,0,0.01,0
"867","Tom Johnson","UNK","SEA",0,0,0,-2,0,0,-Inf,0,-0.01,0,0,0
"868","Tony Lippett","UNK","NYG",0,0,0,11,0,0,Inf,0,0.03,0,0.02,0
"869","Torry McTyer","UNK","MIA",0,0,0,179,0,0,Inf,0,0.09,0,0.06,0
"870","Tra Carson","UNK","CIN",0,0,0,0,0,0,NA,NA,0,0,0,0
"871","Tra Carson","UNK","GB",0,0,0,0,0,0,NA,NA,0,0,0,0
"872","Tre Sullivan","UNK","PHI",0,0,0,25,0,0,Inf,0,0.01,0,0.01,0
"873","Trent Williams","UNK","WAS",0,0,0,0,0,0,NA,NA,0,0,0,0
"874","Trevon Coley","UNK","CLE",0,0,0,18,0,0,Inf,0,0,0,0,0
"875","Trevor Bates","UNK","DET",0,0,0,0,0,0,NA,NA,0,0,0,0
"876","Trevor Davis","WR","GB",0,0,0,0,0,0,NA,NA,0,0,0,0
"877","Tyler Patmon","UNK","JAC",0,0,0,51,0,0,Inf,0,0.03,0,0.02,0
"878","Tyrell Adams","UNK","HOU",0,0,0,0,0,0,NA,NA,0,0,0,0
"879","Ufomba Kamalu","UNK","NE",0,0,0,0,0,0,NA,NA,0,0,0,0
"880","Ukeme Eligwe","UNK","NYG",0,0,0,19,0,0,Inf,0,0.01,0,0.01,0
"881","Victor Bolden","UNK","BUF",0,0,0,0,0,0,NA,NA,0,0,0,0
"882","Vincent Rey","UNK","CIN",0,0,0,9,0,0,Inf,0,0,0,0,0
"883","Vincent Taylor","UNK","MIA",0,0,0,-7,0,0,-Inf,0,0,0,0,0
"884","Vincent Valentine","UNK","ARI",0,0,0,0,0,0,NA,NA,0,0,0,0
"885","Vontae Davis","UNK","BUF",0,0,0,-3,0,0,-Inf,0,-0.01,0,-0.01,0
"886","Vontarrius Dora","UNK","ARI",0,0,0,4,0,0,Inf,0,0.01,0,0,0
"887","Will Compton","UNK","TEN",0,0,0,14,0,0,Inf,0,0.01,0,0.01,0
"888","William Hayes","UNK","MIA",0,0,0,0,0,0,NA,NA,0,0,0,0
"889","Willie Henry","UNK","BAL",0,0,0,0,0,0,NA,NA,0,0,0,0
"890","Zach Kerr","UNK","DEN",0,0,0,16,0,0,Inf,0,0,0,0,0
"891","Zach Moore","UNK","ARI",0,0,0,6,0,0,Inf,0,0,0,0,0
"892","Zach Sieler","UNK","BAL",0,0,0,-3,0,0,-Inf,0,-0.01,0,-0.01,0
"893","Zach Vigil","UNK","WAS",0,0,0,9,0,0,Inf,0,0.01,0,0,0
"894","Ziggy Hood","UNK","MIA",0,0,0,0,0,0,NA,NA,0,0,0,0
"895","Ziggy Hood","UNK","WAS",0,0,0,0,0,0,NA,NA,0,0,0,0
"896","Brandon Weeden","UNK","HOU",0,0,0,6,0,0,Inf,0,0.01,0,0.01,-0.1
"897","Chad Kelly","QB","DEN",0,0,0,0,0,0,NA,NA,0,0,0,-0.1
"898","Derek Anderson","UNK","BUF",0,0,0,618,0,0,Inf,0,0.99,0,0.69,-0.1
"899","Kyle Lauletta","UNK","NYG",0,0,0,62,0,0,Inf,0,0.34,0,0.24,-0.2
"900","Matt Barkley","QB","BUF",0,0,0,331,0,0,Inf,0,0.98,0,0.68,-0.2
"901","Nate Sudfeld","QB","PHI",0,0,0,9,0,0,Inf,0,0.02,0,0.01,-0.2
"902","Jacoby Brissett","QB","IND",0,0,0,36,0,0,Inf,0,0.04,0,0.03,-0.7
"903","Brian Hoyer","QB","NE",0,0,0,4,0,0,Inf,0,0,0,0,-0.8
"904","Sean Mannion","QB","LA",0,0,0,-10,0,0,-Inf,0,-0.02,0,-0.01,-0.9
"905","Rod Streater","UNK","CLE",0,0,0,0,0,0,NA,NA,0,0,0,-1.1
"906","Nick Mullens","QB","SF",0,0,0,1810,0,0,Inf,0,1,0,0.7,-1.6
