"id","full_name","position","team","targets","rec","rec_yards","air_yards","yac","td","adot","racr","ms_air","tgt_share","wopr","ppr"
"490","Jamize Olawale","RB","DAL",4,2,13,1,13,0,0.2,13,0,0.02,0.02,3.3
"491","Joe Webb","QB","HOU",3,2,13,17,6,0,5.7,0.76,0.02,0.02,0.04,3.3
"492","Rishard Matthews","UNK","NYJ",3,2,13,37,0,0,12.3,0.35,0.05,0.03,0.08,3.3
"493","Tyrone Swoopes","UNK","SEA",1,1,23,8,15,0,8,2.88,0.04,0.05,0.09,3.3
"494","Gehrig Dieter","WR","KC",3,1,22,54,13,0,18,0.41,0.09,0.05,0.13,3.2
"495","Josh McCown","QB","NYJ",0,0,0,757,0,0,Inf,0,0.8,0,0.56,3.2
"496","Travaris Cadet","UNK","CAR",1,1,5,1,4,0,1,5,0,0.03,0.05,3.2
"497","Hakeem Valles","UNK","DET",3,2,11,25,1,0,8.3,0.44,0.04,0.04,0.08,3.1
"498","Taylor Heinicke","UNK","CAR",0,0,0,512,0,0,Inf,0,0.3,0,0.21,3.1
"499","Alan Cross","UNK","TB",5,2,9,12,7,0,2.4,0.75,0.01,0.02,0.04,2.9
"500","Dion Sims","UNK","CHI",4,2,9,36,9,0,9,0.25,0.05,0.05,0.1,2.9
"501","Jeremy Kerley","UNK","BUF",4,2,7,15,15,0,3.8,0.47,0.03,0.12,0.2,2.7
"502","Jeremy Langford","UNK","ATL",0,0,0,0,0,0,NA,NA,0,0,0,2.4
"503","Matt Flanagan","UNK","WAS",2,1,14,21,7,0,10.5,0.67,0.05,0.04,0.09,2.4
"504","Tim White","UNK","BAL",1,1,14,14,0,0,14,1,0.01,0.01,0.02,2.4
"505","Robert Turbin","UNK","IND",2,1,3,-6,3,0,-3,-0.5,-0.01,0.02,0.03,2.3
"506","Josh Malone","UNK","CIN",5,1,12,40,0,0,8,0.3,0.04,0.04,0.1,2.2
"507","Sam Shields","UNK","LA",1,1,12,147,6,0,147,0.08,0.05,0,0.04,2.2
"508","Sammie Coates","UNK","HOU",2,1,12,9,5,0,4.5,1.33,0.01,0.02,0.03,2.2
"509","Ameer Abdullah","RB","MIN",2,1,10,18,9,0,9,0.56,0.01,0.01,0.02,2
"510","Victor Bolden","UNK","SF",4,1,10,47,1,0,11.8,0.21,0.19,0.07,0.24,2
"511","Brock Osweiler","UNK","MIA",0,0,0,1395,0,0,Inf,0,0.66,0,0.46,1.9
"512","Cam Phillips","UNK","BUF",1,1,9,13,7,0,13,0.69,0.02,0.01,0.04,1.9
"513","De'Angelo Sr. Henderson","UNK","NYJ",0,0,0,0,0,0,NA,NA,0,0,0,1.9
"514","Jimmy Garoppolo","QB","SF",0,0,0,816,0,0,Inf,0,1,0,0.7,1.9
"515","Justin Davis","UNK","LA",0,0,0,0,0,0,NA,NA,0,0,0,1.9
"516","Kyle Williams","UNK","BUF",1,1,9,147,10,0,147,0.06,0.03,0,0.02,1.9
"517","Damiere Byrd","WR","CAR",2,1,8,25,1,0,12.5,0.32,0.02,0.01,0.02,1.8
"518","Darvin Kidsy","UNK","WAS",2,1,8,18,2,0,9,0.44,0.07,0.07,0.16,1.8
"519","Keon Hatcher","UNK","OAK",2,1,8,14,8,0,7,0.57,0.03,0.03,0.06,1.8
"520","Allen Lazard","WR","GB",1,1,7,7,0,0,7,1,0.02,0.02,0.05,1.7
"521","Brandon Wilds","UNK","JAC",0,0,0,43,0,0,Inf,0,0.04,0,0.03,1.7
"522","Jonathan Stewart","UNK","NYG",0,0,0,0,0,0,NA,NA,0,0,0,1.7
"523","Marcus Kemp","WR","KC",2,1,7,4,8,0,2,1.75,0,0.01,0.02,1.7
"524","Richard Rodgers","TE","PHI",1,1,7,-2,9,0,-2,-3.5,-0.01,0.02,0.03,1.7
"525","Darius Jackson","UNK","DAL",1,0,0,-1,0,0,-1,0,0,0.01,0.02,1.6
"526","David Fluellen","RB","TEN",0,0,0,0,0,0,NA,NA,0,0,0,1.6
"527","Michael Burton","UNK","CHI",1,1,6,0,6,0,0,Inf,0,0.02,0.03,1.6
"528","Andre Holmes","UNK","DEN",1,1,5,-3,8,0,-3,-1.67,-0.01,0.02,0.02,1.5
"529","Johnny Mundt","TE","LA",1,1,5,0,5,0,0,Inf,0,0.04,0.05,1.5
"530","Justin Watson","WR","TB",3,1,5,15,0,0,5,0.33,0.01,0.01,0.02,1.5
"531","Khari Lee","UNK","BUF",1,1,5,-1,6,0,-1,-5,0,0.03,0.04,1.5
"532","J.J. Jones","UNK","NYJ",1,1,3,2,1,0,2,1.5,0.01,0.04,0.06,1.3
"533","Kenjon Barner","RB","CAR",1,1,3,3,0,0,3,1,0,0.01,0.01,1.3
"534","Matt Cassel","UNK","DET",0,0,0,124,0,0,Inf,0,0.17,0,0.12,1.3
"535","Jehu Chesson","UNK","WAS",2,1,7,22,0,0,11,0.32,0.01,0.01,0.03,1.3
"536","Darrius Heyward-Bey","UNK","PIT",2,1,9,25,10,0,12.5,0.36,0.03,0.01,0.04,1.2
"537","Jonathan Williams","RB","NO",1,1,1,1,0,0,1,1,0,0.01,0.01,1.1
"538","Christine Michael","UNK","IND",0,0,0,0,0,0,NA,NA,0,0,0,0.9
"539","J.D. McKissic","RB","SEA",1,0,0,7,0,0,7,0,0.01,0.01,0.03,0.8
"540","Mark Sanchez","UNK","WAS",0,0,0,220,0,0,Inf,0,0.66,0,0.47,0.8
"541","Rob Kelley","UNK","WAS",0,0,0,0,0,0,NA,NA,0,0,0,0.8
"542","Philip Rivers","QB","LAC",0,0,0,3938,0,0,Inf,0,1,0,0.7,0.7
"543","Sam Bradford","UNK","ARI",0,0,0,512,0,0,Inf,0,0.87,0,0.61,0.7
"544","Joshua Dobbs","QB","PIT",0,0,0,59,0,0,Inf,0,0.05,0,0.04,0.6
"545","Teddy Bridgewater","QB","NO",0,0,0,141,0,0,Inf,0,0.17,0,0.12,0.5
"546","Jeremy McNichols","UNK","IND",0,0,0,0,0,0,NA,NA,0,0,0,0.4
"547","Matt Schaub","QB","ATL",1,1,-7,32,0,0,32,-0.22,0.05,0.01,0.06,0.3
"548","AJ McCarron","QB","OAK",0,0,0,7,0,0,Inf,0,0.02,0,0.01,0.2
